location,room,area,floor,price
Nəriman Nərimanov m.,3 otaqlı,130.0,9,280000
Nəriman Nərimanov m.,4 otaqlı,102.0,8,275000
Nəriman Nərimanov m.,4 otaqlı,145.0,10,425000
Nəriman Nərimanov m.,3 otaqlı,130.0,12,268000
Nəriman Nərimanov m.,3 otaqlı,98.0,11,255000
Nəriman Nərimanov m.,1 otaqlı,54.0,4,170000
Nəriman Nərimanov m.,3 otaqlı,142.0,3,255500
Nəriman Nərimanov m.,3 otaqlı,108.0,17,250000
Nəriman Nərimanov m.,2 otaqlı,75.0,5,235000
Nəriman Nərimanov m.,2 otaqlı,92.0,3,265000
Nəriman Nərimanov m.,2 otaqlı,69.0,4,204000
Nəriman Nərimanov m.,3 otaqlı,85.0,15,309000
Nəriman Nərimanov m.,2 otaqlı,55.0,7,189000
Nəriman Nərimanov m.,3 otaqlı,150.0,10,330000
Nəriman Nərimanov m.,3 otaqlı,125.0,8,425000
Nəriman Nərimanov m.,3 otaqlı,83.7,15,309000
Nəriman Nərimanov m.,3 otaqlı,94.0,7,285000
Nəriman Nərimanov m.,3 otaqlı,100.0,7,329000
Nəriman Nərimanov m.,4 otaqlı,137.0,9,275000
Nəriman Nərimanov m.,4 otaqlı,177.0,3,540000
Nəriman Nərimanov m.,2 otaqlı,36.0,1,132000
Nəriman Nərimanov m.,2 otaqlı,95.0,5,264500
Nəriman Nərimanov m.,3 otaqlı,118.0,4,358000
Nəriman Nərimanov m.,2 otaqlı,50.0,14,177000
Nəriman Nərimanov m.,2 otaqlı,68.0,14,218000
Nəriman Nərimanov m.,2 otaqlı,90.0,11,328000
Nəriman Nərimanov m.,3 otaqlı,71.0,6,215000
Nəriman Nərimanov m.,2 otaqlı,91.0,5,265000
Nəriman Nərimanov m.,1 otaqlı,35.0,9,107000
Nəriman Nərimanov m.,4 otaqlı,180.0,12,350000
Nəriman Nərimanov m.,2 otaqlı,50.0,5,144000
Nəriman Nərimanov m.,6 otaqlı,650.0,17,870000
Nəriman Nərimanov m.,3 otaqlı,60.0,4,165000
Nəriman Nərimanov m.,3 otaqlı,99.0,2,270000
Nəriman Nərimanov m.,3 otaqlı,100.0,7,330000
Nəriman Nərimanov m.,2 otaqlı,77.0,7,220000
Gənclik m.,2 otaqlı,60.0,8,205000
Nəriman Nərimanov m.,2 otaqlı,91.0,7,243000
Nəriman Nərimanov m.,2 otaqlı,50.0,14,177000
Nəriman Nərimanov m.,2 otaqlı,70.0,6,196000
Nəriman Nərimanov m.,3 otaqlı,110.0,12,289900
Nəriman Nərimanov m.,2 otaqlı,95.0,5,265000
Nəriman Nərimanov m.,3 otaqlı,60.0,2,184000
Nəriman Nərimanov m.,4 otaqlı,160.0,2,450000
Nəriman Nərimanov m.,4 otaqlı,176.0,5,530000
Nəriman Nərimanov m.,3 otaqlı,135.0,16,320000
Nəriman Nərimanov m.,3 otaqlı,92.0,16,360000
Nəriman Nərimanov m.,3 otaqlı,115.0,5,350000
Nəriman Nərimanov m.,3 otaqlı,100.0,7,270000
Nəriman Nərimanov m.,2 otaqlı,96.0,2,263000
Nəriman Nərimanov m.,4 otaqlı,165.0,2,355000
Nəriman Nərimanov m.,4 otaqlı,170.0,15,550000
Nəriman Nərimanov m.,3 otaqlı,85.0,14,215000
Nəriman Nərimanov m.,3 otaqlı,105.0,5,280000
Nəriman Nərimanov m.,2 otaqlı,50.0,9,140000
Nəriman Nərimanov m.,4 otaqlı,165.0,11,350000
Nəriman Nərimanov m.,2 otaqlı,87.0,13,184000
Nəriman Nərimanov m.,3 otaqlı,130.0,6,318000
